,Data,,,,,,
ID,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,IT Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,Stripfind,Financial Services,2010,"$11,757,018 ","6,482,465 Dollars",5274553,20%
3,Canecorporation,Health,2012,"$11,757,018 ","6,482,465 Dollars",5274553,7%
4,Mattouch,IT Services,2013,"$11,757,018 ","6,482,465 Dollars",5274553,26%
5,Techdrill,Health,2009,"$11,757,018 ","6,482,465 Dollars",5274553,8%
6,Techline,Health,2006,"$11,757,018 ","6,482,465 Dollars",5274553,23%
7,Cityace,Health,2010,"$11,757,018 ","6,482,465 Dollars",5274553,6%
8,Kayelectronics,Health,2009,"$11,757,018 ","6,482,465 Dollars",5274553,4%
9,Ganzlax,IT Services,2011,"$11,757,018 ","6,482,465 Dollars",5274553,18%
10,Trantraxlax,Government Services,2011,"$11,757,018 ","6,482,465 Dollars",5274553,7%
