ID,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,IT Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%
2,Stripfind,Financial Services,2010,"$11,757,018 ","6,482,465 Dollars",5274553,20%
3,Canecorporation,Health,2012,"$11,757,018 ","6,482,465 Dollars",5274553,7%
4,Mattouch,IT Services,2013,"$11,757,018 ","6,482,465 Dollars",5274553,not available
5,yyy,,2009,"$11,757,018 ","6,482,465 Dollars",5274553,8%
6,Techline,,2006,"$11,757,018 ","6,482,465 Dollars",5274553,
7,Cityace,,2010,"$11,757,018 ","6,482,465 Dollars",5274553,6%
8,Kayelectronics,,2009,"$11,757,018 ","6,482,465 Dollars",5274553,not available
9,Ganzlax,IT Services,2011,"$11,757,018 ","6,482,465 Dollars",5274553,18%
10,yyy,Government Services,2011,"$11,757,018 ","6,482,465 Dollars",5274553,7%
